Object ID,Centroid X,Centroid Y,Phenotype,imageid
6d62c67b-1d92-4127-87b5-0d0080790622,28091.51563,32571.23828,AP_M1_Macrophages,XX10684A1
a7ea7ac7-213d-47e0-b688-17a6f9c9a2af,28282.16797,32571.16797,Vessels,XX10684A1
7361026f-4bae-4f55-9cd8-66ab51bca3d5,28242.58984,32572.81836,Vessels,XX10684A1
8d7259e5-e2e4-4a4d-b769-72dbb270c244,28138.94922,32572.72656,Vessels,XX10684A1
96c30701-4426-45ec-85fb-bd70133698f6,28360.31641,32572.06445,Helper_T_cells,XX10684A1
0a660e7b-f0ce-41d2-b764-33a4f5b717e9,28228.80273,32579.05469,Vessels,XX10684A1
d0d7b471-2b13-4e6b-a892-d698aa5614c4,28216.51172,32580.32227,Vessels,XX10684A1
dcd14270-f16b-448d-be20-2fbd7928a1e1,28162.5332,32583.67773,Vessels,XX10684A1
1b2cfdc5-56c1-4745-b8b6-e10cbf3de52d,28263.48242,32584.23633,Vessels,XX10684A1
49ce9725-cfe0-4d74-9b7e-f24e6e766fa2,28358.78125,32583.71484,AP_M1_Macrophages,XX10684A1
2b297b00-28dc-4af5-ab8d-49661deccd70,28246.07227,32585.50781,Helper_T_cells,XX10684A1
c471ba05-e3b1-4b24-98b9-9527442091b8,28226.4707,32592.17578,Vessels,XX10684A1
dba9ae11-2a0f-44a9-b70a-bb91aa2a7bf4,28207.34375,32592.64844,Tregs,XX10684A1
d006eb3b-8e1d-4c01-a417-47af57ff1136,28179.99609,32592.66016,Vessels,XX10684A1
854839f9-0358-4192-94ca-ba49918af83b,28127.30859,32601.20898,Vessels,XX10684A1
6255bd5e-59ab-4989-9349-13228f38e8f3,28269.54297,32602.24609,Vessels,XX10684A1
7bd4ba7c-5ba8-4754-a6f3-8d1421688c39,28284.39648,32604.13281,Vessels,XX10684A1
130f6341-fc7a-4811-8681-e9d36de18e2f,28189.71484,32606.99609,Tregs,XX10684A1
7f4ae956-96a3-46c4-93cf-59f9a4c0c1e9,28104.63477,32607.12695,Helper_T_cells,XX10684A1
fcb6243b-19cb-4978-a0a2-9f66f8a93bdb,28216.11328,32615.32227,Vessels,XX10684A1
46fe589a-53a5-4810-81e3-034a7277cf40,28156.88867,32615.48047,Vessels,XX10684A1
b15eef10-5eba-4af2-886d-f3682d89655c,28120.59375,32618.78711,Vessels,XX10684A1
0f309b30-30da-482e-9986-1c35854e53e2,28260.05078,32618.95898,Vessels,XX10684A1
d97bc028-74b1-40bc-9b6d-ba35ed5a7109,28272.04688,32622.59766,Tregs,XX10684A1
87f9ce2e-35e0-4c1d-b086-0acfdd7c57d8,28201.61914,32626.17773,Vessels,XX10684A1
b6982dfa-da62-4ad3-82ab-215afbc2ca11,28232.75,32630.18164,Vessels,XX10684A1
4e187005-9f7e-4573-bcd1-16775679b7e3,28069.18164,32631.80273,Tregs,XX10684A1
abf55789-731c-4e27-a0b9-72f3f5527016,28116.50586,32634.19922,Vessels,XX10684A1
c16649c5-eec2-4917-911c-e8483b5dc8f0,28188.83789,32636.16602,Tregs,XX10684A1
38811b2f-dbdf-4347-8a3e-7de00e4494d3,28158.11328,32637.81836,Vessels,XX10684A1
f6d5efd4-90f7-4a90-b080-c3cd281ea913,28099.92383,32640.56641,Vessels,XX10684A1
3f41eadc-3e27-4e37-8f53-51aaae02bd90,28319.0293,32640.19922,Tregs,XX10684A1
04f9d79d-430a-488e-a974-ac17f7717658,28145.33789,32643.48242,Vessels,XX10684A1
e389e666-ff93-4106-be64-a696655dc053,28087.77734,32652.37891,Vessels,XX10684A1
655ba3fc-0047-46c2-bc6f-f86f5a026a6a,28112.71484,32651.39648,Vessels,XX10684A1
b0802501-68bc-458c-8e03-f26c4dcf2167,28163.17969,32652.25,Vessels,XX10684A1
f4e5b78e-cf80-42d3-8020-453139510c36,28187.05273,32654.70703,Vessels,XX10684A1
e6f0be01-810f-419a-82c0-db83065bb8aa,28150.86328,32657.94141,Vessels,XX10684A1
70387c62-3a06-4fab-8773-686d5db8bb14,28130.22461,32656.95313,Vessels,XX10684A1
6a4d6c3a-08b1-4b07-87ae-8670b0b68f32,28370.24023,32657.47461,Vessels,XX10684A1
45a27dc9-27aa-4d56-8c18-ecbd0637e6dc,28163.67188,32662.42383,Vessels,XX10684A1
