Object ID,AP_B_cells,AP_M1_Macrophages,AP_M2_Macrophages,B_cells,Cytotoxic_T_cells,Dendritic_Cells,Helper_T_cells,M1_Macrophages,M2_Macrophages,Tregs,Tumor_cells,Tumor_proliferating_cells,Vessels,Phenotype,imageid
87f9ce2e-35e0-4c1d-b086-0acfdd7c57d8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36363636363636365,0.0,0.0,0.6363636363636364,Vessels,XX10684A1
b6982dfa-da62-4ad3-82ab-215afbc2ca11,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.36363636363636365,0.0,0.0,0.5454545454545454,Vessels,XX10684A1
4e187005-9f7e-4573-bcd1-16775679b7e3,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.18181818181818182,0.0,0.0,0.2727272727272727,0.09090909090909091,0.2727272727272727,Tregs,XX10684A1
abf55789-731c-4e27-a0b9-72f3f5527016,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.9090909090909091,Vessels,XX10684A1
c16649c5-eec2-4917-911c-e8483b5dc8f0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.18181818181818182,0.0,0.0,0.7272727272727273,Tregs,XX10684A1
38811b2f-dbdf-4347-8a3e-7de00e4494d3,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.09090909090909091,0.0,0.0,0.8181818181818182,Vessels,XX10684A1
f6d5efd4-90f7-4a90-b080-c3cd281ea913,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091,0.0,0.0,0.7272727272727273,Vessels,XX10684A1
3f41eadc-3e27-4e37-8f53-51aaae02bd90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.8181818181818182,Tregs,XX10684A1
04f9d79d-430a-488e-a974-ac17f7717658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Vessels,XX10684A1
e389e666-ff93-4106-be64-a696655dc053,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.18181818181818182,0.0,0.09090909090909091,0.0,0.0,0.6363636363636364,Vessels,XX10684A1
655ba3fc-0047-46c2-bc6f-f86f5a026a6a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Vessels,XX10684A1
b0802501-68bc-458c-8e03-f26c4dcf2167,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.09090909090909091,0.0,0.0,0.8181818181818182,Vessels,XX10684A1
f4e5b78e-cf80-42d3-8020-453139510c36,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.2727272727272727,0.0,0.0,0.6363636363636364,Vessels,XX10684A1
e6f0be01-810f-419a-82c0-db83065bb8aa,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.9090909090909091,Vessels,XX10684A1
70387c62-3a06-4fab-8773-686d5db8bb14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Vessels,XX10684A1
6a4d6c3a-08b1-4b07-87ae-8670b0b68f32,0.0,0.0,0.0,0.2727272727272727,0.18181818181818182,0.0,0.0,0.0,0.0,0.09090909090909091,0.18181818181818182,0.0,0.2727272727272727,Vessels,XX10684A1
45a27dc9-27aa-4d56-8c18-ecbd0637e6dc,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.9090909090909091,Vessels,XX10684A1
68fbcc70-0e24-4bf3-94e9-258898507b15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Vessels,XX10684A1
59aa281d-5845-491e-942d-acf0740d11f6,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.18181818181818182,0.0,0.0,0.0,0.0,0.7272727272727273,Vessels,XX10684A1
a1a77551-b01e-4e02-8561-7adf881bcc61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.8181818181818182,Helper_T_cells,XX10684A1
d51ceefc-50fb-48fe-b9d5-b17971b95595,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.09090909090909091,0.0,0.0,0.8181818181818182,Tregs,XX10684A1
e48a31bf-0a01-410c-bcb6-1e5b88a12d62,0.0,0.0,0.0,0.18181818181818182,0.18181818181818182,0.0,0.09090909090909091,0.0,0.0,0.18181818181818182,0.09090909090909091,0.0,0.2727272727272727,Vessels,XX10684A1
78414c73-9163-43d9-92cb-45bdf3365ba5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.8181818181818182,Vessels,XX10684A1
