source_phenotype,target_phenotype,statistic,observed_value,permuted_average,p_value,effect
Endothelial cells,Ki67 proliferating cells,p10,23.398684589256426,10.286943053874571,0.0,avoidance
Endothelial cells,Ki67 proliferating cells,p90,87.51601635046745,52.20978236689826,0.006,avoidance
Endothelial cells,T,mean,37.51300717854161,28.602975915895257,0.023,avoidance
Endothelial cells,T,median,28.040149785619903,23.713523233647987,0.183,avoidance
Endothelial cells,T,p10,16.09094658576309,10.356656522068766,0.004,avoidance
Endothelial cells,T,p90,53.93223703807189,51.77943320129471,0.359,avoidance
Endothelial cells,Helper T,mean,53.87797005449208,28.533772391611084,0.0,avoidance
Endothelial cells,Helper T,median,39.635494507870476,23.76229566542902,0.009,avoidance
Endothelial cells,Helper T,p10,18.72860197031305,11.091879181007018,0.012,avoidance
Endothelial cells,Helper T,p90,87.29309521312459,50.145374749274566,0.017,avoidance
Endothelial cells,Cytotoxic T,mean,36.37586796962342,28.580678157674047,0.088,avoidance
Endothelial cells,Cytotoxic T,median,35.02284968417088,23.863843313899675,0.036,avoidance
Endothelial cells,Cytotoxic T,p10,15.681849230241678,11.191085667749483,0.06,avoidance
Endothelial cells,Cytotoxic T,p90,60.19514534926916,50.00011157861477,0.181,avoidance
Ki67 proliferating cells,TAM,mean,91.90016686669237,68.74753119491605,0.002,avoidance
Ki67 proliferating cells,TAM,median,79.30356231630222,59.42482827565243,0.001,avoidance
Ki67 proliferating cells,TAM,p10,31.294520749397606,19.589889936439253,0.0,avoidance
Ki67 proliferating cells,TAM,p90,169.31445918714138,129.62155518606485,0.017,avoidance
Ki67 proliferating cells,Endothelial cells,mean,77.90411433857548,68.99380886636173,0.062,avoidance
Ki67 proliferating cells,Endothelial cells,median,69.33718561649533,59.74530352934613,0.03,avoidance
Ki67 proliferating cells,Endothelial cells,p10,32.00754521128801,19.85927751127255,0.0,avoidance
Ki67 proliferating cells,Endothelial cells,p90,139.2267541558147,129.57947177889017,0.242,avoidance
Ki67 proliferating cells,Ki67 proliferating cells,mean,74.04913789371156,69.67985314301305,0.279,avoidance
Ki67 proliferating cells,Ki67 proliferating cells,median,52.95365898594736,59.98127767061816,0.253,attraction
Ki67 proliferating cells,Ki67 proliferating cells,p10,30.758627312940508,22.174283191740635,0.122,avoidance
Ki67 proliferating cells,Ki67 proliferating cells,p90,157.84961197291645,127.47255970975047,0.074,avoidance
Ki67 proliferating cells,T,mean,97.6182324993134,68.66988949828185,0.009,avoidance
Ki67 proliferating cells,T,median,83.06166384078759,60.19014876645696,0.023,avoidance
Ki67 proliferating cells,T,p10,34.714531745360716,22.20035101193233,0.038,avoidance
Ki67 proliferating cells,T,p90,198.25071761105062,124.53142200015562,0.011,avoidance
Ki67 proliferating cells,Helper T,mean,79.29061400448873,69.08103630883309,0.214,avoidance
Ki67 proliferating cells,Helper T,median,78.39561401508388,60.70887500866196,0.1,avoidance
Ki67 proliferating cells,Helper T,p10,18.175011915756308,24.75563084662907,0.281,attraction
Ki67 proliferating cells,Helper T,p90,151.71926001934858,121.21094976912096,0.159,avoidance
Ki67 proliferating cells,Cytotoxic T,mean,73.60440956215629,68.69484257734108,0.319,avoidance
